TIME,RBD,UNIT,WAT_PROC,Value,Flag and Footnotes
2000,Belgium,Million cubic metres,Precipitation,:,
2000,Rhine - RBD (BE-Walloon region),Million cubic metres,Precipitation,949.01,
2000,Scheldt/Escaut - RBD (BE-Brussels),Million cubic metres,Precipitation,138.45,
2000,Escaut/Schelde - RBD (BE-Walloon region),Million cubic metres,Precipitation,:,
2000,Schelde/Escaut - RBD (BE-Flemish region),Million cubic metres,Precipitation,:,
2000,Meuse/Maas - RBD (BE-Walloon region),Million cubic metres,Precipitation,14052.37,
2000,Maas/Meuse - RBD (BE-Flemish region),Million cubic metres,Precipitation,:,
2000,Seine - RBD (BE-Walloon region),Million cubic metres,Precipitation,100.82,
2000,Bulgaria,Million cubic metres,Precipitation,:,
2000,Danube - RBD (BG),Million cubic metres,Precipitation,:,
2000,Black Sea - RBD,Million cubic metres,Precipitation,:,
2000,East Aegean - RBD (BG),Million cubic metres,Precipitation,:,
2000,West Aegean - RBD (BG),Million cubic metres,Precipitation,:,
2000,Czech Republic,Million cubic metres,Precipitation,:,
2000,Danube - RBD (CZ),Million cubic metres,Precipitation,:,
2000,Labe / Elbe - RBD (CZ),Million cubic metres,Precipitation,:,
2000,Odra / Oder - RBD (CZ),Million cubic metres,Precipitation,:,
2000,Germany (until 1990 former territory of the FRG),Million cubic metres,Precipitation,:,
2000,Danube - RBD (DE),Million cubic metres,Precipitation,:,
2000,Rhine - RBD (DE),Million cubic metres,Precipitation,:,
2000,Ems - RBD (DE),Million cubic metres,Precipitation,:,
2000,Weser - RBD,Million cubic metres,Precipitation,:,
2000,Elbe / Labe - RBD (DE),Million cubic metres,Precipitation,:,
2000,Oder / Odra - RBD (DE),Million cubic metres,Precipitation,:,
2000,Maas / Meuse - RBD (DE),Million cubic metres,Precipitation,:,
2000,Eider - RBD,Million cubic metres,Precipitation,:,
2000,Schlei-Trave - RBD,Million cubic metres,Precipitation,:,
2000,Warnow-Peene - RBD,Million cubic metres,Precipitation,:,
2000,Ireland,Million cubic metres,Precipitation,94225.74,
2000,Western Peloponnese - RBD,Million cubic metres,Precipitation,:,
2000,Northern Peloponnese - RBD,Million cubic metres,Precipitation,:,
2000,Eastern Peloponnese - RBD,Million cubic metres,Precipitation,:,
2000,Spain,Million cubic metres,Precipitation,397961.9,
2000,Mi�o-Sil - RBD (ES),Million cubic metres,Precipitation,32657.89,
2000,Galician Coast - RBD,Million cubic metres,Precipitation,29454.06,
2000,Western Cantabrian RBD,Million cubic metres,Precipitation,24002.91,
2000,Eastern Cantabrian RBD,Million cubic metres,Precipitation,7415.06,
2000,Duero - RBD (ES),Million cubic metres,Precipitation,64526.46,
2000,Tagus - RBD (ES),Million cubic metres,Precipitation,44672.51,
2000,Guadiana - RBD (ES),Million cubic metres,Precipitation,34561.26,
2000,Guadalquivir - RBD,Million cubic metres,Precipitation,40097.44,
2000,Andalusia Mediterranean Basins - RBD,Million cubic metres,Precipitation,9567.34,
2000,Guadalete and Barbate - RBD,Million cubic metres,Precipitation,5585.86,
2000,"Tinto, Odiel and Piedras - RBD",Million cubic metres,Precipitation,4036.34,
2000,Segura - RBD,Million cubic metres,Precipitation,6979.63,
2000,J�car - RBD,Million cubic metres,Precipitation,22524.84,
2000,Ebro - RBD,Million cubic metres,Precipitation,58276.34,
2000,Catalonia - RBD,Million cubic metres,Precipitation,9944.49,
2000,Balearic Islands - RBD,Million cubic metres,Precipitation,2121.19,
2000,Gran Canaria - RBD,Million cubic metres,Precipitation,193.94,
2000,Fuerteventura - RBD,Million cubic metres,Precipitation,47.13,
2000,Lanzarote - RBD,Million cubic metres,Precipitation,39.11,
2000,Tenerife - RBD,Million cubic metres,Precipitation,392.56,
2000,La Palma - RBD,Million cubic metres,Precipitation,391.28,
2000,La Gomera - RBD,Million cubic metres,Precipitation,78.03,
2000,El Hierro - RBD,Million cubic metres,Precipitation,59.44,
2000,Ceuta - RBD,Million cubic metres,Precipitation,:,
2000,Melilla - RBD,Million cubic metres,Precipitation,:,
2000,France,Million cubic metres,Precipitation,:,
2000,Escaut / Schelde - RBD (FR),Million cubic metres,Precipitation,:,
2000,Meuse-Chiers - RBD (FR),Million cubic metres,Precipitation,:,
2000,Sambre - RBD,Million cubic metres,Precipitation,:,
2000,Rhine - RBD (FR),Million cubic metres,Precipitation,:,
2000,Moselle-Saar (FR),Million cubic metres,Precipitation,:,
2000,Upper Rhine and Ill,Million cubic metres,Precipitation,:,
2000,Rhone and the mediterranean coastal rivers - RBD (FR),Million cubic metres,Precipitation,:,
2000,Coastal streams of the Cote d'Azur,Million cubic metres,Precipitation,:,
2000,Languedoc Roussillon coastals,Million cubic metres,Precipitation,:,
2000,Doubs,Million cubic metres,Precipitation,:,
2000,Durance,Million cubic metres,Precipitation,:,
2000,Ard�che-Gard,Million cubic metres,Precipitation,:,
2000,Haut-Rh�ne,Million cubic metres,Precipitation,:,
2000,Is�re-Dr�me,Million cubic metres,Precipitation,:,
2000,Rh�ne moyen,Million cubic metres,Precipitation,:,
2000,Sa�ne,Million cubic metres,Precipitation,:,
2000,Corse - RBD,Million cubic metres,Precipitation,:,
2000,"Adour, Garonne, Dordogne, Charente and Charente and Aquitaine coastal streams - RBD",Million cubic metres,Precipitation,:,
2000,Adour,Million cubic metres,Precipitation,:,
2000,Charente,Million cubic metres,Precipitation,:,
2000,Charente and Aquitaine coastal streams,Million cubic metres,Precipitation,:,
2000,Dordogne,Million cubic metres,Precipitation,:,
2000,Garonne,Million cubic metres,Precipitation,:,
2000,Lot,Million cubic metres,Precipitation,:,
2000,Tarn-Aveyron,Million cubic metres,Precipitation,:,
2000,"Loire, the coastal rivers of Vend�e and Bretagne - RBD",Million cubic metres,Precipitation,:,
